Comunidades autónomas	Ocupación	Sexo	Periodo	Total
Comunitat Valenciana	Baja	Ambos sexos	2015	15.735,42
Comunitat Valenciana	Baja	Ambos sexos	2014	15.861,44
Comunitat Valenciana	Baja	Ambos sexos	2013	15.783,04
Comunitat Valenciana	Baja	Ambos sexos	2012	15.825,34
Comunitat Valenciana	Baja	Ambos sexos	2011	15.964,3
Comunitat Valenciana	Baja	Ambos sexos	2010	15.409,47
Comunitat Valenciana	Baja	Ambos sexos	2009	15.721,84
Comunitat Valenciana	Baja	Ambos sexos	2008	16.135,54
Comunitat Valenciana	Baja	Mujeres	2023	14.614,92
Comunitat Valenciana	Baja	Mujeres	2022	14.060,58
Comunitat Valenciana	Baja	Mujeres	2021	12.977,03
Comunitat Valenciana	Baja	Mujeres	2020	12.631,56
Comunitat Valenciana	Baja	Mujeres	2019	12.227,24
Comunitat Valenciana	Baja	Mujeres	2018	12.494,43
Comunitat Valenciana	Baja	Mujeres	2017	12.143,34
Comunitat Valenciana	Baja	Mujeres	2016	11.529,5
Comunitat Valenciana	Baja	Mujeres	2015	11.220,65
Comunitat Valenciana	Baja	Mujeres	2014	11.474,44
Comunitat Valenciana	Baja	Mujeres	2013	11.371,08
Comunitat Valenciana	Baja	Mujeres	2012	11.574,66
Comunitat Valenciana	Baja	Mujeres	2011	11.930,67
Comunitat Valenciana	Baja	Mujeres	2010	11.341,89
Comunitat Valenciana	Baja	Mujeres	2009	11.170,85
Comunitat Valenciana	Baja	Mujeres	2008	11.850,18
Comunitat Valenciana	Baja	Hombres	2023	22.092,36
Comunitat Valenciana	Baja	Hombres	2022	21.806,19
Comunitat Valenciana	Baja	Hombres	2021	20.610,05
Comunitat Valenciana	Baja	Hombres	2020	20.047,29
Comunitat Valenciana	Baja	Hombres	2019	19.971,86
Comunitat Valenciana	Baja	Hombres	2018	20.337,53
Comunitat Valenciana	Baja	Hombres	2017	18.660,69
Comunitat Valenciana	Baja	Hombres	2016	18.550,79
Comunitat Valenciana	Baja	Hombres	2015	18.761,05
Comunitat Valenciana	Baja	Hombres	2014	18.529,76
Comunitat Valenciana	Baja	Hombres	2013	18.598,6
Comunitat Valenciana	Baja	Hombres	2012	18.548,75
Comunitat Valenciana	Baja	Hombres	2011	18.221,93
Comunitat Valenciana	Baja	Hombres	2010	18.241,33
Comunitat Valenciana	Baja	Hombres	2009	17.868,77
Comunitat Valenciana	Baja	Hombres	2008	17.999,25
Extremadura	Todas las ocupaciones	Ambos sexos	2023	23.684,22
Extremadura	Todas las ocupaciones	Ambos sexos	2022	21.922,73
Extremadura	Todas las ocupaciones	Ambos sexos	2021	21.393,01
Extremadura	Todas las ocupaciones	Ambos sexos	2020	20.479,3
Extremadura	Todas las ocupaciones	Ambos sexos	2019	19.940,68
Extremadura	Todas las ocupaciones	Ambos sexos	2018	19.947,8
Extremadura	Todas las ocupaciones	Ambos sexos	2017	19.672,4
Extremadura	Todas las ocupaciones	Ambos sexos	2016	19.475,2
Extremadura	Todas las ocupaciones	Ambos sexos	2015	19.564,49
Extremadura	Todas las ocupaciones	Ambos sexos	2014	19.180,57
Extremadura	Todas las ocupaciones	Ambos sexos	2013	19.129,72
Extremadura	Todas las ocupaciones	Ambos sexos	2012	19.721,35
Extremadura	Todas las ocupaciones	Ambos sexos	2011	19.879,46
Extremadura	Todas las ocupaciones	Ambos sexos	2010	19.480,55
Extremadura	Todas las ocupaciones	Ambos sexos	2009	19.099,56
Extremadura	Todas las ocupaciones	Ambos sexos	2008	18.264,9
Extremadura	Todas las ocupaciones	Mujeres	2023	22.181,88
Extremadura	Todas las ocupaciones	Mujeres	2022	20.637,14
Extremadura	Todas las ocupaciones	Mujeres	2021	19.833,03
Extremadura	Todas las ocupaciones	Mujeres	2020	18.791,05
Extremadura	Todas las ocupaciones	Mujeres	2019	18.012,58
Extremadura	Todas las ocupaciones	Mujeres	2018	17.972,63
Extremadura	Todas las ocupaciones	Mujeres	2017	17.722,29
Extremadura	Todas las ocupaciones	Mujeres	2016	17.360,28
Extremadura	Todas las ocupaciones	Mujeres	2015	17.304,65
Extremadura	Todas las ocupaciones	Mujeres	2014	17.413,85
Extremadura	Todas las ocupaciones	Mujeres	2013	16.304,55
Extremadura	Todas las ocupaciones	Mujeres	2012	17.401,9
Extremadura	Todas las ocupaciones	Mujeres	2011	18.060,8
Extremadura	Todas las ocupaciones	Mujeres	2010	17.876,85
Extremadura	Todas las ocupaciones	Mujeres	2009	17.549,86
Extremadura	Todas las ocupaciones	Mujeres	2008	16.623,4
Extremadura	Todas las ocupaciones	Hombres	2023	25.179,79
Extremadura	Todas las ocupaciones	Hombres	2022	23.170,92
Extremadura	Todas las ocupaciones	Hombres	2021	22.794,52
Extremadura	Todas las ocupaciones	Hombres	2020	22.071,78
Extremadura	Todas las ocupaciones	Hombres	2019	21.823,73
Extremadura	Todas las ocupaciones	Hombres	2018	21.794,57
Extremadura	Todas las ocupaciones	Hombres	2017	21.585,18
Extremadura	Todas las ocupaciones	Hombres	2016	21.554,75
Extremadura	Todas las ocupaciones	Hombres	2015	21.813,81
Extremadura	Todas las ocupaciones	Hombres	2014	20.829,72
Extremadura	Todas las ocupaciones	Hombres	2013	21.780,9
Extremadura	Todas las ocupaciones	Hombres	2012	21.585,3
Extremadura	Todas las ocupaciones	Hombres	2011	21.318,32
Extremadura	Todas las ocupaciones	Hombres	2010	20.787,03
Extremadura	Todas las ocupaciones	Hombres	2009	20.207,93
Extremadura	Todas las ocupaciones	Hombres	2008	19.390,41
Extremadura	Alta	Ambos sexos	2023	35.232,49
Extremadura	Alta	Ambos sexos	2022	31.774,95
Extremadura	Alta	Ambos sexos	2021	32.222,28
Extremadura	Alta	Ambos sexos	2020	29.995,87
Extremadura	Alta	Ambos sexos	2019	29.618,26
Extremadura	Alta	Ambos sexos	2018	28.714,97
Extremadura	Alta	Ambos sexos	2017	28.423,76
Extremadura	Alta	Ambos sexos	2016	29.142,97
Extremadura	Alta	Ambos sexos	2015	28.299,44
Extremadura	Alta	Ambos sexos	2014	28.125,89
Extremadura	Alta	Ambos sexos	2013	29.783,93
Extremadura	Alta	Ambos sexos	2012	29.703,02
Extremadura	Alta	Ambos sexos	2011	29.194,42
Extremadura	Alta	Ambos sexos	2010	28.418,22
Extremadura	Alta	Ambos sexos	2009	26.598,71
Extremadura	Alta	Ambos sexos	2008	25.816,31
Extremadura	Alta	Mujeres	2023	34.395,18
Extremadura	Alta	Mujeres	2022	31.212,82
Extremadura	Alta	Mujeres	2021	30.983,01
Extremadura	Alta	Mujeres	2020	28.502,76
Extremadura	Alta	Mujeres	2019	28.252,34
Extremadura	Alta	Mujeres	2018	27.258,72
Extremadura	Alta	Mujeres	2017	27.099,71
Extremadura	Alta	Mujeres	2016	27.268,42
Extremadura	Alta	Mujeres	2015	25.784,79
Extremadura	Alta	Mujeres	2014	25.940,11
Extremadura	Alta	Mujeres	2013	26.650,52
Extremadura	Alta	Mujeres	2012	27.220,71
Extremadura	Alta	Mujeres	2011	27.833,91
Extremadura	Alta	Mujeres	2010	26.446
Extremadura	Alta	Mujeres	2009	24.648,13
Extremadura	Alta	Mujeres	2008	23.851,43
Extremadura	Alta	Hombres	2023	36.279,4
Extremadura	Alta	Hombres	2022	32.494,81
Extremadura	Alta	Hombres	2021	33.695,57
Extremadura	Alta	Hombres	2020	31.721,8
Extremadura	Alta	Hombres	2019	31.093,59
Extremadura	Alta	Hombres	2018	30.498,91
Extremadura	Alta	Hombres	2017	29.827,62
Extremadura	Alta	Hombres	2016	31.039,2
Extremadura	Alta	Hombres	2015	30.912,68
Extremadura	Alta	Hombres	2014	30.611,89
Extremadura	Alta	Hombres	2013	32.422,55
Extremadura	Alta	Hombres	2012	31.772,05
Extremadura	Alta	Hombres	2011	30.407,04
Extremadura	Alta	Hombres	2010	30.521,39
Extremadura	Alta	Hombres	2009	28.332,68
Extremadura	Alta	Hombres	2008	27.472,4
Extremadura	Media	Ambos sexos	2023	18.620,91
Extremadura	Media	Ambos sexos	2022	17.723,78
Extremadura	Media	Ambos sexos	2021	17.200,41
Extremadura	Media	Ambos sexos	2020	16.633,85
Extremadura	Media	Ambos sexos	2019	16.700,5
Extremadura	Media	Ambos sexos	2018	16.420,84
Extremadura	Media	Ambos sexos	2017	16.034,23
Extremadura	Media	Ambos sexos	2016	15.970,62
Extremadura	Media	Ambos sexos	2015	15.801,17
Extremadura	Media	Ambos sexos	2014	15.117,83
Extremadura	Media	Ambos sexos	2013	16.081,85
Extremadura	Media	Ambos sexos	2012	16.309,31
Extremadura	Media	Ambos sexos	2011	16.831,45
Extremadura	Media	Ambos sexos	2010	15.703,35
Extremadura	Media	Ambos sexos	2009	16.526,2
Extremadura	Media	Ambos sexos	2008	16.090,7
Extremadura	Media	Mujeres	2023	15.959,97
Extremadura	Media	Mujeres	2022	15.210,32
Extremadura	Media	Mujeres	2021	14.377,21
Extremadura	Media	Mujeres	2020	14.203,7
Extremadura	Media	Mujeres	2019	14.368,92
Extremadura	Media	Mujeres	2018	13.367,32
Extremadura	Media	Mujeres	2017	13.518,5
Extremadura	Media	Mujeres	2016	13.640,24
Extremadura	Media	Mujeres	2015	13.589,39
Extremadura	Media	Mujeres	2014	13.134,07
Extremadura	Media	Mujeres	2013	13.603,56
Extremadura	Media	Mujeres	2012	13.948,45
Extremadura	Media	Mujeres	2011	14.496,7
Extremadura	Media	Mujeres	2010	13.699,39
Extremadura	Media	Mujeres	2009	14.732,18
Extremadura	Media	Mujeres	2008	13.944,92
Extremadura	Media	Hombres	2023	21.652,68
Extremadura	Media	Hombres	2022	20.353,86
Extremadura	Media	Hombres	2021	19.791,3
Extremadura	Media	Hombres	2020	19.119,35
Extremadura	Media	Hombres	2019	19.182,72
Extremadura	Media	Hombres	2018	19.531,34
Extremadura	Media	Hombres	2017	18.904,96
Extremadura	Media	Hombres	2016	18.648,78
Extremadura	Media	Hombres	2015	18.464,9
Extremadura	Media	Hombres	2014	17.134,4
Extremadura	Media	Hombres	2013	18.800,24
Extremadura	Media	Hombres	2012	18.472,37
Extremadura	Media	Hombres	2011	18.885,49
Extremadura	Media	Hombres	2010	17.357,43
Extremadura	Media	Hombres	2009	17.890,44
Extremadura	Media	Hombres	2008	17.870
Extremadura	Baja	Ambos sexos	2023	17.212,01
Extremadura	Baja	Ambos sexos	2022	16.146,68
Extremadura	Baja	Ambos sexos	2021	15.443,74
Extremadura	Baja	Ambos sexos	2020	15.252,03
Extremadura	Baja	Ambos sexos	2019	14.743,11
Extremadura	Baja	Ambos sexos	2018	15.593,35
Extremadura	Baja	Ambos sexos	2017	14.078,61
Extremadura	Baja	Ambos sexos	2016	13.578,36
Extremadura	Baja	Ambos sexos	2015	13.537,15
Extremadura	Baja	Ambos sexos	2014	13.772,12
Extremadura	Baja	Ambos sexos	2013	13.486,12
Extremadura	Baja	Ambos sexos	2012	14.166,33
Extremadura	Baja	Ambos sexos	2011	14.269,24
Extremadura	Baja	Ambos sexos	2010	14.555,85
Extremadura	Baja	Ambos sexos	2009	14.442,66
Extremadura	Baja	Ambos sexos	2008	14.148,44
Extremadura	Baja	Mujeres	2023	13.240,27
Extremadura	Baja	Mujeres	2022	-12.147,95
Extremadura	Baja	Mujeres	2021	-12.292,3
Extremadura	Baja	Mujeres	2020	-12.300,57
Extremadura	Baja	Mujeres	2019	11.671,66
Extremadura	Baja	Mujeres	2018	-12.283,8
Extremadura	Baja	Mujeres	2017	-11.018,7
Extremadura	Baja	Mujeres	2016	-10.760,59
Extremadura	Baja	Mujeres	2015	-10.317,44
Extremadura	Baja	Mujeres	2014	-10.227,47
Extremadura	Baja	Mujeres	2013	-10.780,75
Extremadura	Baja	Mujeres	2012	11.285,3
Extremadura	Baja	Mujeres	2011	-11.038,04
Extremadura	Baja	Mujeres	2010	-11.003,06
Extremadura	Baja	Mujeres	2009	11.471,33
Extremadura	Baja	Mujeres	2008	11.673,94
Extremadura	Baja	Hombres	2023	19.343,37
Extremadura	Baja	Hombres	2022	18.276,23
Extremadura	Baja	Hombres	2021	17.256,16
Extremadura	Baja	Hombres	2020	16.959,1
Extremadura	Baja	Hombres	2019	16.946,94
Extremadura	Baja	Hombres	2018	17.333,41
Extremadura	Baja	Hombres	2017	16.019,14
Extremadura	Baja	Hombres	2016	15.442,54
Extremadura	Baja	Hombres	2015	15.440,8
Extremadura	Baja	Hombres	2014	15.680,7
Extremadura	Baja	Hombres	2013	15.524,72
Extremadura	Baja	Hombres	2012	15.784,01
Extremadura	Baja	Hombres	2011	15.965,66
Extremadura	Baja	Hombres	2010	16.457,59
Extremadura	Baja	Hombres	2009	15.831,43
Extremadura	Baja	Hombres	2008	15.042,93
Galicia	Todas las ocupaciones	Ambos sexos	2023	25.279,15
Galicia	Todas las ocupaciones	Ambos sexos	2022	24.169,68
Galicia	Todas las ocupaciones	Ambos sexos	2021	23.305,86
Galicia	Todas las ocupaciones	Ambos sexos	2020	22.834,66
Galicia	Todas las ocupaciones	Ambos sexos	2019	22.177,4
Galicia	Todas las ocupaciones	Ambos sexos	2018	22.244,59
Galicia	Todas las ocupaciones	Ambos sexos	2017	21.605,88
Galicia	Todas las ocupaciones	Ambos sexos	2016	21.082,12
Galicia	Todas las ocupaciones	Ambos sexos	2015	20.624,55
Galicia	Todas las ocupaciones	Ambos sexos	2014	20.195,89
Galicia	Todas las ocupaciones	Ambos sexos	2013	19.824,66
Galicia	Todas las ocupaciones	Ambos sexos	2012	19.389,2
Galicia	Todas las ocupaciones	Ambos sexos	2011	19.970,29
Galicia	Todas las ocupaciones	Ambos sexos	2010	20.241,99
Galicia	Todas las ocupaciones	Ambos sexos	2009	19.806,66
Galicia	Todas las ocupaciones	Ambos sexos	2008	19.156,41
Galicia	Todas las ocupaciones	Mujeres	2023	23.153,78
Galicia	Todas las ocupaciones	Mujeres	2022	21.912,75
Galicia	Todas las ocupaciones	Mujeres	2021	20.904,37
Galicia	Todas las ocupaciones	Mujeres	2020	20.446,53
Galicia	Todas las ocupaciones	Mujeres	2019	19.818,26
Galicia	Todas las ocupaciones	Mujeres	2018	19.543,17
Galicia	Todas las ocupaciones	Mujeres	2017	18.833,53
Galicia	Todas las ocupaciones	Mujeres	2016	18.294,47
Galicia	Todas las ocupaciones	Mujeres	2015	18.093,26
Galicia	Todas las ocupaciones	Mujeres	2014	17.797,03
Galicia	Todas las ocupaciones	Mujeres	2013	17.258,21
Galicia	Todas las ocupaciones	Mujeres	2012	16.727,15
Galicia	Todas las ocupaciones	Mujeres	2011	17.291,96
Galicia	Todas las ocupaciones	Mujeres	2010	17.691,11
Galicia	Todas las ocupaciones	Mujeres	2009	17.342,32
Galicia	Todas las ocupaciones	Mujeres	2008	16.646,42
Galicia	Todas las ocupaciones	Hombres	2023	27.479,85
Galicia	Todas las ocupaciones	Hombres	2022	26.626,89
Galicia	Todas las ocupaciones	Hombres	2021	25.794,19
Galicia	Todas las ocupaciones	Hombres	2020	25.276,16
Galicia	Todas las ocupaciones	Hombres	2019	24.542,83
Galicia	Todas las ocupaciones	Hombres	2018	24.826,91
Galicia	Todas las ocupaciones	Hombres	2017	24.321,64
Galicia	Todas las ocupaciones	Hombres	2016	23.774,21
Galicia	Todas las ocupaciones	Hombres	2015	23.189,76
Galicia	Todas las ocupaciones	Hombres	2014	22.505,05
Galicia	Todas las ocupaciones	Hombres	2013	22.522,55
Galicia	Todas las ocupaciones	Hombres	2012	22.059,69
Galicia	Todas las ocupaciones	Hombres	2011	22.381,85
Galicia	Todas las ocupaciones	Hombres	2010	22.626,21
Galicia	Todas las ocupaciones	Hombres	2009	21.829,8
Galicia	Todas las ocupaciones	Hombres	2008	21.105,6
Galicia	Alta	Ambos sexos	2023	35.300,62
Galicia	Alta	Ambos sexos	2022	33.748,83
Galicia	Alta	Ambos sexos	2021	33.416,51
Galicia	Alta	Ambos sexos	2020	32.544,02
Galicia	Alta	Ambos sexos	2019	30.828,29
Galicia	Alta	Ambos sexos	2018	33.374,73
Galicia	Alta	Ambos sexos	2017	30.330,66
Galicia	Alta	Ambos sexos	2016	29.396,11
Galicia	Alta	Ambos sexos	2015	28.856,19
Galicia	Alta	Ambos sexos	2014	28.922,96
Galicia	Alta	Ambos sexos	2013	27.847,54
Galicia	Alta	Ambos sexos	2012	27.809,11
Galicia	Alta	Ambos sexos	2011	28.738,77
Galicia	Alta	Ambos sexos	2010	29.509,02
Galicia	Alta	Ambos sexos	2009	28.285,86
Galicia	Alta	Ambos sexos	2008	27.000,5
Galicia	Alta	Mujeres	2023	33.431,86
Galicia	Alta	Mujeres	2022	31.810,15
Galicia	Alta	Mujeres	2021	30.911,19
Galicia	Alta	Mujeres	2020	30.380,22
Galicia	Alta	Mujeres	2019	28.565,64
Galicia	Alta	Mujeres	2018	29.913,32
Galicia	Alta	Mujeres	2017	27.755,67
Galicia	Alta	Mujeres	2016	26.579,29
Galicia	Alta	Mujeres	2015	26.622,45
Galicia	Alta	Mujeres	2014	26.630,92
Galicia	Alta	Mujeres	2013	24.848,63
Galicia	Alta	Mujeres	2012	24.395,69
Galicia	Alta	Mujeres	2011	25.382,24
Galicia	Alta	Mujeres	2010	26.466,88
Galicia	Alta	Mujeres	2009	25.789,01
Galicia	Alta	Mujeres	2008	24.242,39
Galicia	Alta	Hombres	2023	37.874,7
Galicia	Alta	Hombres	2022	36.109,31
Galicia	Alta	Hombres	2021	36.473,63
Galicia	Alta	Hombres	2020	34.975,17
Galicia	Alta	Hombres	2019	33.370,85
Galicia	Alta	Hombres	2018	37.255,88
Galicia	Alta	Hombres	2017	33.007,83
Galicia	Alta	Hombres	2016	32.164,82
Galicia	Alta	Hombres	2015	31.038
Galicia	Alta	Hombres	2014	31.403,04
Galicia	Alta	Hombres	2013	31.345,64
Galicia	Alta	Hombres	2012	31.432,41
Galicia	Alta	Hombres	2011	32.186,77
Galicia	Alta	Hombres	2010	32.745,53
Galicia	Alta	Hombres	2009	30.544,45
Galicia	Alta	Hombres	2008	29.654,04
Galicia	Media	Ambos sexos	2023	21.135,48
Galicia	Media	Ambos sexos	2022	20.069,19
Galicia	Media	Ambos sexos	2021	18.957,48
Galicia	Media	Ambos sexos	2020	18.557,14
Galicia	Media	Ambos sexos	2019	18.449,78
Galicia	Media	Ambos sexos	2018	17.875,62
Galicia	Media	Ambos sexos	2017	17.929,12
Galicia	Media	Ambos sexos	2016	17.286,62
Galicia	Media	Ambos sexos	2015	17.127,22
Galicia	Media	Ambos sexos	2014	16.591,15
Galicia	Media	Ambos sexos	2013	16.825,33
Galicia	Media	Ambos sexos	2012	16.070,31
Galicia	Media	Ambos sexos	2011	16.574,42
Galicia	Media	Ambos sexos	2010	16.743,53
Galicia	Media	Ambos sexos	2009	16.513,37
Galicia	Media	Ambos sexos	2008	16.369,61
Galicia	Media	Mujeres	2023	18.204,31
Galicia	Media	Mujeres	2022	17.669,65
Galicia	Media	Mujeres	2021	16.286,6
Galicia	Media	Mujeres	2020	16.004,59
Galicia	Media	Mujeres	2019	16.040,73
Galicia	Media	Mujeres	2018	15.337,33
Galicia	Media	Mujeres	2017	15.186,38
Galicia	Media	Mujeres	2016	14.670,36
Galicia	Media	Mujeres	2015	14.903,54
Galicia	Media	Mujeres	2014	13.937,78
Galicia	Media	Mujeres	2013	14.426,68
Galicia	Media	Mujeres	2012	13.827,45
Galicia	Media	Mujeres	2011	13.802,72
Galicia	Media	Mujeres	2010	14.149,68
Galicia	Media	Mujeres	2009	13.807,6
Galicia	Media	Mujeres	2008	13.467,61
Galicia	Media	Hombres	2023	24.260,46
Galicia	Media	Hombres	2022	23.177,61
Galicia	Media	Hombres	2021	21.935,97
Galicia	Media	Hombres	2020	21.655,59
Galicia	Media	Hombres	2019	21.317,02
Galicia	Media	Hombres	2018	20.656,46
Galicia	Media	Hombres	2017	20.886,07
Galicia	Media	Hombres	2016	20.154,9
Galicia	Media	Hombres	2015	19.794,67
Galicia	Media	Hombres	2014	19.314,44
Galicia	Media	Hombres	2013	19.670,22
Galicia	Media	Hombres	2012	18.618,39
Galicia	Media	Hombres	2011	19.276,44
Galicia	Media	Hombres	2010	19.437,59
Galicia	Media	Hombres	2009	18.961
Galicia	Media	Hombres	2008	18.834,82
Galicia	Baja	Ambos sexos	2023	19.715,44
Galicia	Baja	Ambos sexos	2022	19.212,15
Galicia	Baja	Ambos sexos	2021	17.737,87
Galicia	Baja	Ambos sexos	2020	17.558,13
Galicia	Baja	Ambos sexos	2019	17.613,35
Galicia	Baja	Ambos sexos	2018	17.389,54
Galicia	Baja	Ambos sexos	2017	16.310,99
Galicia	Baja	Ambos sexos	2016	16.106,09
Galicia	Baja	Ambos sexos	2015	15.959
Galicia	Baja	Ambos sexos	2014	15.506,87
Galicia	Baja	Ambos sexos	2013	15.316,33
Galicia	Baja	Ambos sexos	2012	15.428,38
Galicia	Baja	Ambos sexos	2011	15.306,5
Galicia	Baja	Ambos sexos	2010	15.506,16
Galicia	Baja	Ambos sexos	2009	15.279,85
Galicia	Baja	Ambos sexos	2008	15.307,43
Galicia	Baja	Mujeres	2023	15.112,35
Galicia	Baja	Mujeres	2022	15.024,11
Galicia	Baja	Mujeres	2021	13.651,74
Galicia	Baja	Mujeres	2020	13.419,45
Galicia	Baja	Mujeres	2019	13.565,67
Galicia	Baja	Mujeres	2018	13.030,95
Galicia	Baja	Mujeres	2017	12.087,82
Galicia	Baja	Mujeres	2016	12.476,66
Galicia	Baja	Mujeres	2015	12.164,6
Galicia	Baja	Mujeres	2014	12.136,34
Galicia	Baja	Mujeres	2013	11.794,6
Galicia	Baja	Mujeres	2012	12.166,42
Galicia	Baja	Mujeres	2011	12.402,85
Galicia	Baja	Mujeres	2010	12.263,5
Galicia	Baja	Mujeres	2009	12.170,18
Galicia	Baja	Mujeres	2008	11.917,7
Galicia	Baja	Hombres	2023	22.592,41
Galicia	Baja	Hombres	2022	21.851,16
Galicia	Baja	Hombres	2021	20.379,17
Galicia	Baja	Hombres	2020	19.943,44
Galicia	Baja	Hombres	2019	20.001,74
Galicia	Baja	Hombres	2018	19.730,38
Galicia	Baja	Hombres	2017	19.336,11
Galicia	Baja	Hombres	2016	18.678,23
Galicia	Baja	Hombres	2015	18.733,33
Galicia	Baja	Hombres	2014	17.879,54
Galicia	Baja	Hombres	2013	17.837,45
Galicia	Baja	Hombres	2012	17.733,77
Galicia	Baja	Hombres	2011	17.160,03
Galicia	Baja	Hombres	2010	17.589,87
Galicia	Baja	Hombres	2009	17.022,7
Galicia	Baja	Hombres	2008	16.963,23
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2023	32.219,6
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2022	31.230,73
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2021	29.512,58
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2020	28.829,06
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2019	27.817,76
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2018	27.010,93
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2017	27.089,12
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2016	26.330,14
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2015	26.448,04
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2014	26.570,35
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2013	26.215,36
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2012	26.044,39
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2011	25.845,2
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2010	25.988,95
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2009	25.860,65
Madrid, Comunidad de	Todas las ocupaciones	Ambos sexos	2008	25.269,61
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2023	29.250,2
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2022	28.123,47
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2021	26.578,07
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2020	25.900,29
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2019	24.873,79
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2018	23.925,99
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2017	24.029,31
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2016	23.371,33
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2015	23.470,06
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2014	23.326,94
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2013	22.959,28
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2012	22.841,15
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2011	22.585,38
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2010	22.721,17
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2009	22.048,25
Madrid, Comunidad de	Todas las ocupaciones	Mujeres	2008	21.787,75
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2023	35.052,21
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2022	34.113,4
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2021	32.213,88
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2020	31.495,31
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2019	30.530,89
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2018	29.816,34
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2017	29.910,43
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2016	29.111,2
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2015	29.314,09
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2014	29.734,23
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2013	29.224,3
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2012	29.116,2
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2011	28.896,67
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2010	29.016,28
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2009	29.333,06
Madrid, Comunidad de	Todas las ocupaciones	Hombres	2008	28.228,42
Madrid, Comunidad de	Alta	Ambos sexos	2023	43.431,6
Madrid, Comunidad de	Alta	Ambos sexos	2022	42.250,67
Madrid, Comunidad de	Alta	Ambos sexos	2021	40.281,24
Madrid, Comunidad de	Alta	Ambos sexos	2020	39.056,35
Madrid, Comunidad de	Alta	Ambos sexos	2019	38.184,52
Madrid, Comunidad de	Alta	Ambos sexos	2018	37.804,33
Madrid, Comunidad de	Alta	Ambos sexos	2017	37.525,26
Madrid, Comunidad de	Alta	Ambos sexos	2016	36.341,31
Madrid, Comunidad de	Alta	Ambos sexos	2015	36.466,07
Madrid, Comunidad de	Alta	Ambos sexos	2014	36.801,56
Madrid, Comunidad de	Alta	Ambos sexos	2013	36.672,54
Madrid, Comunidad de	Alta	Ambos sexos	2012	36.053,22
Madrid, Comunidad de	Alta	Ambos sexos	2011	35.959,6
Madrid, Comunidad de	Alta	Ambos sexos	2010	36.204,46
Madrid, Comunidad de	Alta	Ambos sexos	2009	36.024,67
Madrid, Comunidad de	Alta	Ambos sexos	2008	34.857,48
Madrid, Comunidad de	Alta	Mujeres	2023	39.712,27
Madrid, Comunidad de	Alta	Mujeres	2022	37.991,51
Madrid, Comunidad de	Alta	Mujeres	2021	36.604,35
Madrid, Comunidad de	Alta	Mujeres	2020	35.005,28
Madrid, Comunidad de	Alta	Mujeres	2019	34.040,7
Madrid, Comunidad de	Alta	Mujeres	2018	33.902,58
Madrid, Comunidad de	Alta	Mujeres	2017	33.256,47
Madrid, Comunidad de	Alta	Mujeres	2016	32.419,23
Madrid, Comunidad de	Alta	Mujeres	2015	32.252,18
